customer_id,Recency,Frequency,Monetary_CLV,Avg_Order_Value,Total_Quantity,Avg_Quantity,Customer_Lifespan,Discount_Usage_Rate,R_Score,F_Score,M_Score,RFM_Total_Score,RFM_Code,RFM_Level,ML_Cluster
CUST00130,1037,1,5.659999847412109,5.659999847412109,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00273,198,1,9.449999809265137,9.449999809265137,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST02405,366,1,9.770000457763672,9.770000457763672,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00785,1013,1,11.130000114440918,11.130000114440918,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02004,479,1,12.539999961853027,12.539999961853027,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01820,18,1,13.15999984741211,13.15999984741211,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02429,188,1,15.899999618530273,15.899999618530273,2,2.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST00179,475,1,17.68000030517578,17.68000030517578,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00043,387,1,18.200000762939453,18.200000762939453,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02886,543,1,20.799999237060547,20.799999237060547,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01070,366,1,22.040000915527344,22.040000915527344,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01225,685,1,22.469999313354492,22.469999313354492,3,3.0,0,1.0,2,2,1,5,221,Low Value,0
CUST03011,420,1,22.760000228881836,22.760000228881836,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01234,538,1,25.540000915527344,25.540000915527344,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02803,1005,1,27.860000610351562,27.860000610351562,2,2.0,0,1.0,1,2,1,4,121,Low Value,0
CUST02479,477,1,27.920000076293945,27.920000076293945,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01556,824,1,28.799999237060547,28.799999237060547,5,5.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00098,555,1,31.729999542236328,31.729999542236328,1,1.0,0,1.0,3,2,1,6,321,Low Value,0
CUST02508,772,1,32.4900016784668,32.4900016784668,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02995,420,1,34.470001220703125,34.470001220703125,3,3.0,0,1.0,3,3,1,7,331,Low Value,0
CUST03023,69,1,34.63999938964844,34.63999938964844,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01714,18,1,38.68000030517578,38.68000030517578,4,4.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01034,165,1,38.91999816894531,38.91999816894531,7,7.0,0,1.0,5,4,1,10,541,Medium Value,0
